time,playerPositionX,playerPositionZ,playerRotation,rewardAmount,painBodyPart,painBodySource
0.005966187,0,0,0,0,00,000
0.01193237,0,0.0002854138,0,0,00,000
0.03193665,-4.258948E-06,0.0008562098,-0.007461213,0,00,000
0.04536438,-6.627004E-05,0.005967106,-0.007461213,0,00,000
0.05195618,-0.0001294039,0.01083901,-0.007461213,0,00,000
0.05780029,-0.0001656109,0.01358027,-0.007461213,0,00,000
0.06393433,-0.0002017422,0.01628038,-0.007461213,0,00,000
0.06980896,-0.0002442425,0.01942168,-0.007461213,0,00,000
0.07589722,-0.0002890758,0.0227069,-0.007461213,0,00,000
0.08192444,-0.0003399015,0.02640349,-0.007461213,0,00,000
0.08808899,-0.0003945729,0.03035495,-0.007461213,0,00,000
0.09411621,-0.0004550277,0.03470051,-0.007461213,0,00,000
0.1002197,-0.0005184172,0.0392359,-0.007461213,0,00,000
0.1065521,-0.0005871303,0.04413198,-0.007461213,0,00,000
0.1142578,-0.0006630926,0.04952431,-0.007461213,0,00,000
0.1203461,-0.0007627079,0.05656749,-0.007461213,0,00,000
0.1284485,-0.0008457344,0.06242147,-0.007461213,0,00,000
0.1344757,-0.0009641523,0.07074339,-0.007461213,0,00,000
0.1426086,-0.0010565,0.07721908,-0.007461213,0,00,000
0.1489868,-0.001189264,0.08650424,-0.007461213,0,00,000
0.1565399,-0.001298024,0.0940964,-0.007461213,0,00,000
0.1624603,-0.001433771,0.1035533,-0.007461213,0,00,000
0.1705933,-0.001544267,0.1112401,-0.007461213,0,00,000
0.1771088,-0.001704066,0.1223364,-0.007461213,0,00,000
0.1852722,-0.001837092,0.1315614,-0.007461213,0,00,000
0.1913757,-0.002011788,0.1436574,-0.007461213,0,00,000
0.1999664,-0.002147001,0.1530097,-0.007461213,0,00,000
0.2060394,-0.002346017,0.1667559,-0.007461213,0,00,000
0.2145081,-0.002491185,0.1767737,-0.007461213,0,00,000
0.2212982,-0.002702187,0.1913174,-0.007461213,0,00,000
0.2283173,-0.002876574,0.2033269,-0.007461213,0,00,000
0.2354279,-0.003062944,0.2161506,-0.007461213,0,00,000
0.2425232,-0.00325776,0.2295446,-0.007461213,0,00,000
0.2499237,-0.003458096,0.2433077,-0.007461213,0,00,000
0.2578583,-0.00367365,0.2581052,-0.007461213,0,00,000
0.2657623,-0.003912062,0.2744595,-0.007461213,0,00,000
0.2718506,-0.004157389,0.2912762,-0.007461213,0,00,000
0.2799225,-0.004350514,0.3045078,-0.007461213,0,00,000
0.2863312,-0.004614358,0.3225729,-0.007461213,0,00,000
0.2942505,-0.004828897,0.3372549,-0.007461213,0,00,000
0.300415,-0.005101362,0.3558905,-0.007461213,0,00,000
0.3081512,-0.00531812,0.3707096,-0.007461213,0,00,000
0.3130341,-0.005597388,0.3897927,-0.007461213,0,00,000
0.3185272,-0.005776548,0.4020313,-0.007461213,0,00,000
0.3244781,-0.005981347,0.4160166,-0.007461213,0,00,000
0.3306885,-0.006207684,0.4314674,-0.007461213,0,00,000
0.3367615,-0.006448606,0.447908,-0.007461213,0,00,000
0.3426971,-0.006688421,0.4642676,-0.007461213,0,00,000
0.3488464,-0.006927012,0.4805387,-0.007461213,0,00,000
0.3553619,-0.007178933,0.4977134,-0.007461213,0,00,000
0.3608551,-0.007450975,0.5162539,-0.007461213,0,00,000
0.3670044,-0.007683731,0.5321128,-0.007461213,0,00,000
0.3727875,-0.007948914,0.5501761,-0.007461213,0,00,000
0.3787994,-0.008202015,0.5674121,-0.007461213,0,00,000
0.3849792,-0.008469565,0.5856271,-0.007461213,0,00,000
0.3909454,-0.008748933,0.604642,-0.007461213,0,00,000
0.3970032,-0.009022888,0.6232839,-0.007461213,0,00,000
0.4030457,-0.00930542,0.6425049,-0.007461213,0,00,000
0.4091339,-0.009591551,0.6619663,-0.007461213,0,00,000
0.4151917,-0.009884401,0.6818803,-0.007461213,0,00,000
0.4215851,-0.01022721,0.7051263,-0.007461213,0,00,000
0.4272919,-0.01064391,0.7333242,-0.007461213,0,00,000
0.4334106,-0.01105752,0.7612741,-0.007461213,0,00,000
0.4394379,-0.0115467,0.7942932,-0.007461213,0,00,000
0.4454193,-0.01207013,0.8295918,-0.007461213,0,00,000
0.4514771,-0.01262796,0.8671826,-0.007461213,0,00,000
0.4575958,-0.01323228,0.9078812,-0.007461213,0,00,000
0.4636536,-0.01388005,0.9514832,-0.007461213,0,00,000
0.4697571,-0.01455513,0.996904,-0.007461213,0,00,000
0.475769,-0.01526833,1.044871,-0.007461213,0,00,000
0.4818878,-0.01600179,1.094185,-0.007461213,0,00,000
0.4879761,-0.01677894,1.146421,-0.007461213,0,00,000
0.4940033,-0.01758054,1.200286,-0.007461213,0,00,000
0.5000763,-0.01840226,1.255492,-0.007461213,0,00,000
0.5061493,-0.01925639,1.312863,-0.007461213,0,00,000
0.5121613,-0.02013344,1.371762,-0.007461213,0,00,000
0.5182343,-0.02102449,1.431593,-0.007461213,0,00,000
0.5241852,-0.02194807,1.493598,-0.007461213,0,00,000
0.530304,-0.02287273,1.555669,-0.007461213,0,00,000
0.5363922,-0.02384509,1.620932,-0.007461213,0,00,000
0.54245,-0.02483065,1.687075,-0.007461213,0,00,000
0.5484924,-0.02582925,1.754085,-0.007461213,0,00,000
0.5545044,-0.02684333,1.822129,-0.007461213,0,00,000
0.5605774,-0.02786948,1.890976,-0.007461213,0,00,000
0.5666504,-0.02892015,1.961462,-0.007461213,0,00,000
0.5726929,-0.02998537,2.03292,-0.007461213,0,00,000
0.5787964,-0.03105982,2.104992,-0.007461213,0,00,000
0.5848541,-0.03215972,2.178766,-0.007461213,0,00,000
0.5909119,-0.03326463,2.252872,-0.007461213,0,00,000
0.5969849,-0.03438044,2.327705,-0.007461213,0,00,000
0.6029968,-0.03551073,2.403506,-0.007461213,0,00,000
0.6090698,-0.03664053,2.479269,-0.007461213,0,00,000
0.6151276,-0.03779357,2.556588,-0.007461213,0,00,000
0.62117,-0.03895343,2.634362,-0.007461213,0,00,000
0.6272278,-0.04012075,2.712632,-0.007461213,0,00,000
0.6333008,-0.04129792,2.791559,-0.007461213,0,00,000
0.6394348,-0.04248745,2.871313,-0.007461213,0,00,000
0.6454773,-0.043696,2.95234,-0.007461213,0,00,000
0.6514893,-0.04489416,3.032667,-0.007461213,0,00,000
0.657608,-0.04609567,3.113216,-0.007461213,0,00,000
0.6636047,-0.04732412,3.19557,-0.007461213,0,00,000
0.669754,-0.04853457,3.276715,-0.007461213,0,00,000
0.6757965,-0.0497828,3.36039,-0.007461213,0,00,000
0.6818085,-0.05101592,3.443052,-0.007461213,0,00,000
0.6878662,-0.05224729,3.525593,-0.007461213,0,00,000
0.694931,-0.05349603,3.609298,-0.007461213,0,00,000
0.6999664,-0.05495882,3.707349,-0.007461213,0,00,000
